sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
6497,9.0,12.0,12.0,23.0,16.0,23.0,0.28125,0.375,0.375,0.71875,0.5,0.71875,-0.060028765,0.16206229,0.44329935,0.5108394,-0.4624753,0.60658044,0.60658044,0.5108394,0.09574103,Good Fit,KETOAN,18,2,2
12086,0.0,3.0,2.0,16.0,15.0,7.0,0.0,0.09375,0.0625,0.5,0.46875,0.21875,-0.52036417,-0.23532458,0.6566733,0.45383772,-0.58164984,0.25299272,0.6566733,0.45383772,0.20283559,Great Fit,MKT,18,2,2
29546,12.0,11.0,19.0,26.0,28.0,26.0,0.375,0.34375,0.59375,0.8125,0.875,0.8125,-0.47039986,-0.19501026,0.7346266,0.7165589,-0.24155295,0.44399503,0.7346266,0.7165589,0.018067725,Best Fit,MKT,15,1,2
25783,21.0,15.0,12.0,20.0,21.0,20.0,0.65625,0.46875,0.375,0.625,0.65625,0.625,-0.13032204,0.22338788,0.30904981,0.57932115,-0.73353213,0.30891156,0.57932115,0.30904981,0.27027136,Good Fit,TMDT,22,1,4
17556,1.0,1.0,2.0,6.0,6.0,4.0,0.03125,0.03125,0.0625,0.1875,0.1875,0.125,-0.55067754,-0.24914981,0.69352645,0.5864094,-0.4654922,0.315845,0.69352645,0.5864094,0.10711706,Great Fit,MKT,22,1,3
23474,21.0,24.0,15.0,21.0,22.0,18.0,0.65625,0.75,0.46875,0.65625,0.6875,0.5625,0.22335552,0.3561701,0.12873775,-0.060710207,-0.8070201,0.077560626,0.3561701,0.22335552,0.13281459,Good Fit,ATTT,33,2,2
13658,1.0,0.0,2.0,4.0,18.0,10.0,0.03125,0.0,0.0625,0.125,0.5625,0.3125,-0.2899669,0.035610802,0.9431817,0.90540206,-0.3278732,0.5409172,0.9431817,0.90540206,0.03777961,Best Fit,MKT,18,2,2
25110,18.0,23.0,30.0,18.0,12.0,10.0,0.5625,0.71875,0.9375,0.5625,0.375,0.3125,-0.11824616,-0.49036053,-0.60328543,-0.8477071,0.7214624,-0.708553,0.7214624,-0.11824616,0.83970857,Great Fit,TTDPT,56,1,0
20303,13.0,22.0,11.0,6.0,6.0,20.0,0.40625,0.6875,0.34375,0.1875,0.1875,0.625,0.98540795,0.84929264,-0.20556602,-0.06154758,-0.012693099,0.48660246,0.98540795,0.84929264,0.13611531,Best Fit,CNTT,21,2,2
4231,20.0,13.0,12.0,21.0,25.0,25.0,0.625,0.40625,0.375,0.65625,0.78125,0.78125,-0.14619236,0.23617308,0.59494495,0.84894806,-0.60457635,0.5583721,0.84894806,0.59494495,0.25400308,Best Fit,TMDT,23,1,2
